word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
人文,"['人', '文']",2,人,文,,,,,
人人,"['人', '人']",2,人,人,,,,,
人生行路,"['人', '生', '行', '路']",4,人,生,行,路,,,
人名,"['人', '名']",2,人,名,,,,,
行政,"['行', '政']",2,行,政,,,,,
学名,"['学', '名']",2,学,名,,,,,
学齢生徒,"['学', '齢', '生', '徒']",4,学,齢,生,徒,,,
生生流転,"['生', '生', '流', '転']",4,生,生,流,転,,,
風流人,"['風', '流', '人']",3,風,流,人,,,,
学期,"['学', '期']",2,学,期,,,,,
一期一会,"['一', '期', '一', '会']",4,一,期,一,会,,,
一式,"['一', '式']",2,一,式,,,,,
大会,"['大', '会']",2,大,会,,,,,
大発生,"['大', '発', '生']",3,大,発,生,,,,
一発,"['一', '発']",2,一,発,,,,,
生一本,"['生', '一', '本']",3,生,一,本,,,,
同本,"['同', '本']",2,同,本,,,,,
同一人物,"['同', '一', '人', '物']",4,同,一,人,物,,,
均一,"['均', '一']",2,均,一,,,,,
唯一無二,"['唯', '一', '無', '二']",4,唯,一,無,二,,,
人馬一体,"['人', '馬', '一', '体']",4,人,馬,一,体,,,
十二支,"['十', '二', '支']",3,十,二,支,,,,
大物,"['大', '物']",2,大,物,,,,,
大士,"['大', '士']",2,大,士,,,,,
恋人同士,"['恋', '人', '同', '士']",4,恋,人,同,士,,,
同行二人,"['同', '行', '二', '人']",4,同,行,二,人,,,
通行人,"['通', '行', '人']",3,通,行,人,,,,
画一,"['画', '一']",2,画,一,,,,,
蓮根,"['蓮', '根']",2,蓮,根,,,,,
白粉,"['白', '粉']",2,白,粉,,,,,
骨格,"['骨', '格']",2,骨,格,,,,,
学生,"['学', '生']",2,学,生,,,,,
托卵,"['托', '卵']",2,托,卵,,,,,
刺身,"['刺', '身']",2,刺,身,,,,,
砕氷,"['砕', '氷']",2,砕,氷,,,,,
恐竜,"['恐', '竜']",2,恐,竜,,,,,
頭金,"['頭', '金']",2,頭,金,,,,,
中堅,"['中', '堅']",2,中,堅,,,,,
忍耐,"['忍', '耐']",2,忍,耐,,,,,
尻尾,"['尻', '尾']",2,尻,尾,,,,,
蛇腹,"['蛇', '腹']",2,蛇,腹,,,,,
海抜,"['海', '抜']",2,海,抜,,,,,
不穏,"['不', '穏']",2,不,穏,,,,,
威風,"['威', '風']",2,威,風,,,,,
林道,"['林', '道']",2,林,道,,,,,
気質,"['気', '質']",2,気,質,,,,,
実況,"['実', '況']",2,実,況,,,,,
